seq us class
2119514927 699 7
2119514929 699 7
2119514933 699 7
2119514937 699 7
2119514941 699 7
2119514943 699 7
2119514946 699 7
2119514949 699 7
2119514952 699 7
2119514957 699 7
2119514961 699 7
2119514963 699 7
2119514967 699 7
2119514971 699 7
2119514976 699 7
2119514980 699 7
2119514984 699 7
2119514987 699 7
2119514992 699 7
2119514995 699 7
2119514998 699 7
2119515002 699 7
2119515005 699 7
2119515008 699 7
2119515011 699 7
2119515015 699 7
2119515019 699 7
2119515022 699 7
2119515025 699 7
2119515029 699 7
2119515032 699 7
2119515036 699 7
2119515039 699 7
2119515042 699 7
2119515047 699 7
2119515050 699 7
2119515054 699 7
2119515057 699 7
2119515060 699 7
2119515064 699 7
2119515068 699 7
2119515070 699 7
2119515074 699 7
2119516487 699 7
2119572579 635 8
2119572599 635 8
2119572739 635 8
2119572742 635 8
2119572787 635 8
2119573310 635 8
2119573798 635 8
2119574052 635 8
2119616268 602 8
2119616269 602 8
2119616280 602 8
2119616281 602 8
2119616282 602 8
2119616283 602 8
2119616284 602 8
2119616285 602 8
2119616294 602 8
2119616297 602 8
2119616298 602 8
2119616357 602 8
2119616376 602 8
2119616381 602 8
2119616384 602 8
2119616405 602 8
2119616406 602 8
2119616407 602 8
2119616408 602 8
2119616417 602 8
2119616428 602 8
2119632349 578 10
2119632395 578 10
2119632396 578 10
2120069840 486 2
2120069841 486 2
2120069842 486 2
2120069843 486 2
2120069844 486 2
2120069864 486 2
2120069871 486 2
2120069872 486 2
2120069879 486 2
2120069880 486 2
2120069881 486 2
2120069882 486 2
2120069883 486 2
2120069884 486 2
2120069885 486 2
2120069892 486 2
2120076738 452 10
2120076770 452 10
2120076790 452 10
2120076791 452 10
2120076814 452 10
2120076815 452 10
2120076816 452 10
2120076819 452 10
2120076820 452 10
2120110019 447 7
2120110042 447 7
2120110043 447 7
2120110070 447 7
2120110071 447 7
2120110073 447 7
2120110074 447 7
2120110076 447 7
2120110077 447 7
2120110082 447 7
2120110083 447 7
2120110100 447 7
2120110101 447 7
2120110102 447 7
2120110103 447 7
2123664628 412 8
2123664629 412 8
2123664668 412 8
2123664669 412 8
2123664682 412 8
2123664683 412 8
2123664684 412 8
2123664685 412 8
2123664686 412 8
2123664687 412 8
2123664688 412 8
2123664689 412 8
2123664690 412 8
2123664691 412 8
2123664692 412 8
2123664693 412 8
2123664694 412 8
2123664701 412 8
2123664702 412 8
2123664713 412 8
2123664714 412 8
2123664747 412 8
2123664748 412 8
2123664770 412 8
2123664771 412 8
2123686812 376 7
2123686818 376 7
2123686827 376 7
2123686844 376 7
2123686905 376 7
2123686921 376 7
2131552539 251 10
2131552613 251 10
2131552635 251 10
2131552922 251 10
2131552940 251 10
2131553523 251 10
2131782193 229 7
2131782194 229 7
2131782196 229 7
2131782197 229 7
2131782198 229 7
2131782203 229 7
2131782218 229 7
2131782219 229 7
2131782220 229 7
2131782239 229 7
2131782240 229 7
2131782241 229 7
2131782242 229 7
2131782243 229 7
2131782244 229 7
2131782245 229 7
2131782246 229 7
2131782247 229 7
2131782248 229 7
2131782249 229 7
2131782250 229 7
2131782251 229 7
2131782252 229 7
2131782253 229 7
2131782254 229 7
2131782255 229 7
2131782256 229 7
2131782257 229 7
2131782258 229 7
2131782259 229 7
2131782260 229 7
2131782261 229 7
2131782281 229 7
2131782282 229 7
2131782283 229 7
2131782284 229 7
2131785635 219 3
2131785636 219 3
2131785637 219 3
2131785638 219 3
2131785639 219 3
2131785642 219 3
2131785643 219 3
2131785644 219 3
2131785645 219 3
2131785646 219 3
2131785647 219 3
2131785650 219 3
2131785651 219 3
2131785670 219 3
2131785671 219 3
2131785672 219 3
2131785673 219 3
2131785674 219 3
2131785675 219 3
2131785676 219 3
2131785677 219 3
2131785678 219 3
2131785679 219 3
2131785680 219 3
2131785681 219 3
2131785682 219 3
2131785703 219 3
2131785736 219 3
2131785751 219 3
2131785780 219 3
2131785781 219 3
2131785788 219 3
2131785789 219 3
2131785790 219 3
2131785791 219 3
2131785816 219 3
2131785817 219 3
2131785818 219 3
2131785819 219 3
2131785820 219 3
2131785821 219 3
2131785822 219 3
2131785823 219 3
2131785824 219 3
2131785825 219 3
2139631931 127 8
2139631937 127 8
2139631962 127 8
2139632073 127 8
2139632316 127 8
2139632373 127 8
2139632383 127 8
2139633103 127 8
2139633109 127 8
2139633242 127 8
2141411370 92 9
2141411379 92 9
2141411399 92 9
2141411412 92 9
2141411434 92 9
2141411449 92 9
2141411451 92 9
2141411453 92 9
2141411455 92 9
2141411458 92 9
2141429219 55 2
2141429227 55 2
2141429229 55 2
2141429235 55 2
2141429236 55 2
2141429239 55 2
2141429242 55 2
2141429247 55 2
2141429252 55 2
2141429253 55 2
2141429254 55 2
2141431223 50 1
2141431226 50 1
2141431396 50 1
2141431404 50 1
2141431417 50 1
2141431422 50 1
2141431433 50 1
2141431445 50 1
2141431468 50 1
2141431491 50 1
2141431500 50 1
2141431516 50 1
2141431524 50 1
2141431539 50 1
2141431547 50 1
2141431561 50 1
2141431579 50 1
2141431592 50 1
2141431608 50 1
2141431619 50 1
2141431628 50 1
2141431635 50 1
2141431649 50 1
2141431659 50 1
2141431671 50 1
2141431693 50 1
2141436382 41 1
2141436393 41 1
2141436403 41 1
2141436421 41 1
2141436440 41 1
2141436457 41 1
2141436471 41 1
2141436478 41 1
2141436489 41 1
2141436494 41 1
2141436506 41 1
2141436518 41 1
2141436539 41 1
2141436554 41 1
2141436567 41 1
2141436581 41 1
2141436592 41 1
2141436611 41 1
2141436628 41 1
2141436647 41 1
2141436661 41 1
2156297144 1857 8
2156297145 1857 8
2156297146 1857 8
2156297149 1857 8
2156297150 1857 8
2156297151 1857 8
2156297152 1857 8
2156297153 1857 8
2156297154 1857 8
2156297155 1857 8
2156297156 1857 8
2156297157 1857 8
2156297158 1857 8
2156297159 1857 8
2156298477 1859 10
2156298478 1859 10
2156298479 1859 10
2156298480 1859 10
2156298481 1859 10
2156298482 1859 10
2156298483 1859 10
2156298484 1859 10
2156298485 1859 10
2156298486 1859 10
2156298487 1859 10
2156298488 1859 10
2156298489 1859 10
2156298517 1859 10
2156298535 1859 10
2156298536 1859 10
2156298537 1859 10
2156298540 1859 10
2156298541 1859 10
2156298542 1859 10
2156298654 1857 8
2156298655 1857 8
2156298656 1857 8
2156298657 1857 8
2156298677 1857 8
2156298972 1859 10
2156298973 1859 10
2156298974 1859 10
2156298992 1859 10
2156298993 1859 10
2156361092 1910 10
2156361093 1910 10
2156361094 1910 10
2156361095 1910 10
2156361096 1910 10
2156361097 1910 10
2156361098 1910 10
2156361099 1910 10
2156361112 1910 10
2156361113 1910 10
2156361139 1910 10
2156361140 1910 10
2156361177 1910 10
2156361178 1910 10
2156361179 1910 10
2156361198 1910 10
2156361216 1910 10
2156361222 1910 10
2156361223 1910 10
2156391189 1859 10
2156402051 1767 7
2156406031 1736 8
2156655683 578 10
2156655684 578 10
2156655693 578 10
2156655694 578 10
2156655695 578 10
2156655698 578 10
2156655700 578 10
2156655701 578 10
2156697920 447 7
2156891405 219 3
2156891406 219 3
2156891407 219 3
2156933073 127 8
2164395296 1952 6
2164395297 1952 6
2164395310 1952 6
2164395311 1952 6
2164395313 1952 6
2164395314 1952 6
2164395321 1952 6
2164395322 1952 6
2164395323 1952 6
2164395340 1952 6
2164395341 1952 6
2164395342 1952 6
2164395345 1952 6
2164395346 1952 6
2164395347 1952 6
2164395349 1952 6
2164395350 1952 6
2164395351 1952 6
2164395353 1952 6
2164395354 1952 6
2164395366 1952 6
2164395380 1952 6
2164395381 1952 6
2164395383 1952 6
2164395384 1952 6
2164395391 1952 6
2164395392 1952 6
2164395396 1952 6
2164395397 1952 6
2164395400 1952 6
2164395401 1952 6
2164395435 1952 6
2164395436 1952 6
2164516589 1991 6
2164516590 1991 6
2164516591 1991 6
2164516592 1991 6
2164518721 1991 6
2164518722 1991 6
2164518723 1991 6
2164518725 1991 6
2164518726 1991 6
2164518727 1991 6
2164518728 1991 6
2164518729 1991 6
2164518730 1991 6
2164518731 1991 6
2164518732 1991 6
2164518733 1991 6
2164518735 1991 6
2164518737 1991 6
2164518738 1991 6
2164518749 1991 6
2164518750 1991 6
2164518768 1991 6
2164518769 1991 6
2164518776 1991 6
2164518777 1991 6
2164518778 1991 6
2164518779 1991 6
2164518798 1991 6
2164518805 1991 6
2164518806 1991 6
2164518807 1991 6
2164518814 1991 6
2164518815 1991 6
2164518820 1991 6
2164518821 1991 6
