seq us class
2119001136 1541 2
2119001137 1541 2
2119001139 1541 2
2119001152 1541 2
2119001153 1541 2
2119001154 1541 2
2119001155 1541 2
2119001166 1541 2
2119001167 1541 2
2119001168 1541 2
2119001169 1541 2
2119001170 1541 2
2119001174 1541 2
2119001175 1541 2
2119001187 1541 2
2119001188 1541 2
2119001189 1541 2
2119001190 1541 2
2119001191 1540 2
2119001192 1540 2
2119001203 1540 2
2119001204 1540 2
2119001205 1540 2
2119001210 1540 2
2119001211 1540 2
2119001212 1540 2
2119001213 1540 2
2119001214 1540 2
2119001215 1540 2
2119001218 1540 2
2119001219 1540 2
2119001220 1540 2
2119001221 1540 2
2119001222 1540 2
2119001223 1540 2
2119001224 1540 2
2119001225 1540 2
2119001226 1540 2
2119001227 1540 2
2119001228 1540 2
2119001229 1540 2
2119001230 1540 2
2119001231 1540 2
2119001232 1540 2
2119001233 1540 2
2119001234 1540 2
2119001235 1540 2
2119001236 1540 2
2119001243 1540 2
2119001247 1540 2
2119001248 1540 2
2119001249 1540 2
2119001250 1540 2
2119001251 1540 2
2119001252 1540 2
2119001253 1540 2
2119001254 1540 2
2119001255 1540 2
2119001256 1540 2
2119001259 1540 2
2119001268 1540 2
2119001272 1540 2
2119001273 1540 2
2119001274 1540 2
2119001277 1540 2
2119001280 1540 2
2119001281 1540 2
2119001282 1540 2
2119001283 1540 2
2119001284 1540 2
2119001285 1540 2
2119001286 1540 2
2119001287 1540 2
2119001288 1540 2
2119001289 1540 2
2119001290 1540 2
2119001291 1540 2
2119001292 1540 2
2119001293 1540 2
2119001295 1540 2
2119001296 1540 2
2119001302 1540 2
2119001303 1540 2
2119001306 1540 2
2119001315 1540 2
2119001316 1540 2
2119001317 1540 2
2119001318 1540 2
2119001319 1540 2
2119001322 1540 2
2119001323 1540 2
2119001324 1540 2
2119001325 1540 2
2119001327 1540 2
2119001328 1540 2
2119001329 1540 2
2119001331 1540 2
2119001332 1540 2
2119001335 1540 2
2119001336 1540 2
2119001337 1540 2
2119001340 1540 2
2119001342 1540 2
2119001343 1540 2
2119001344 1540 2
2119001345 1540 2
2119001346 1540 2
2119001347 1539 5
2119001348 1539 5
2119001349 1539 5
2119001350 1539 5
2119001351 1539 5
2119001352 1539 5
2119001353 1539 5
2119001354 1539 5
2119001355 1539 5
2119001356 1539 5
2119001357 1539 5
2119001358 1539 5
2119001359 1539 5
2119001360 1539 5
2119001361 1539 5
2119001362 1539 5
2119001363 1539 5
2119001364 1539 5
2119001375 1539 5
2119001376 1539 5
2119001377 1539 5
2119001378 1539 5
2119001379 1539 5
2119001380 1539 5
2119001383 1539 5
2119001384 1539 5
2119001385 1539 5
2119001386 1539 5
2119001387 1539 5
2119001388 1539 5
2119001389 1539 5
2119001390 1539 5
2119001393 1539 5
2119001396 1539 5
2119001397 1539 5
2119001398 1539 5
2119001399 1539 5
2119001400 1539 5
2119001401 1539 5
2119001402 1539 5
2119001403 1539 5
2119001404 1539 5
2119001405 1539 5
2119001406 1539 5
2119001407 1539 5
2119001408 1539 5
2119001409 1539 5
2119001410 1539 5
2119001411 1539 5
2119001422 1539 5
2119001423 1539 5
2119001426 1539 5
2119001427 1539 5
2119001428 1539 5
2119001441 1539 5
2119001442 1539 5
2119001443 1539 5
2119001444 1539 5
2119001445 1539 5
2119001446 1539 5
2119001452 1539 5
2119001461 1539 5
2119001466 1539 5
2119001471 1539 5
2119001472 1539 5
2119001508 1538 4
2119001509 1538 4
2119001510 1538 4
2119001511 1538 4
2119001512 1538 4
2119001516 1538 4
2119001583 1538 4
2119001584 1538 4
2119001585 1538 4
2119001586 1538 4
2119001601 1538 4
2119001602 1538 4
2119001603 1538 4
2119001607 1538 4
2119001608 1538 4
2119001609 1538 4
2119001610 1538 4
2119001612 1538 4
2119001613 1538 4
2119001614 1537 9
2119001615 1537 9
2119001616 1537 9
2119001617 1537 9
2119001619 1537 9
2119001620 1537 9
2119001623 1537 9
2119001624 1537 9
2119001635 1537 9
2119001636 1537 9
2119001639 1537 9
2119001640 1537 9
2119001641 1537 9
2119001642 1537 9
2119001646 1537 9
2119001647 1537 9
2119001652 1537 9
2119001653 1537 9
2119001660 1537 9
2119001661 1537 9
2119001662 1537 9
2119001675 1537 9
2119001676 1537 9
2119001681 1537 9
2119001682 1537 9
2119001685 1537 9
2119001686 1537 9
2119001687 1537 9
2119001688 1537 9
2119001689 1537 9
2119001690 1537 9
2119001691 1537 9
2119001695 1537 9
2119001696 1537 9
2119001705 1537 9
2119001706 1537 9
2119001707 1537 9
2119001708 1537 9
2119001711 1537 9
2119001712 1537 9
2119001715 1537 9
2119001716 1537 9
2119001717 1537 9
2119001720 1537 9
2119001721 1537 9
2119001722 1537 9
2119001723 1537 9
2119001724 1537 9
2119001725 1537 9
2119001726 1537 9
2119001727 1537 9
2119001728 1537 9
2119001729 1537 9
2119001730 1537 9
2119001747 1536 6
2119001767 1536 6
2119001768 1536 6
2119001780 1536 6
2119001785 1536 6
2119001788 1536 6
2119001789 1536 6
2119001790 1536 6
2119001791 1536 6
2119001792 1535 8
2119001805 1535 8
2119001829 1535 8
2119001849 1535 8
2119001856 1535 8
2119001857 1535 8
2119001869 1535 8
2119001876 1535 8
2119001877 1535 8
2119001890 1534 5
2119001896 1534 5
2119001897 1534 5
2119001910 1534 5
2119001928 1534 5
2119001940 1534 5
2119001945 1534 5
2119001948 1534 5
2119001951 1534 5
2119001960 1534 5
2119001961 1534 5
2119001962 1534 5
2119005080 1523 1
2119005081 1523 1
2119005099 1523 1
2119005100 1523 1
2119005101 1523 1
2119005102 1523 1
2119005570 1518 5
2119005571 1518 5
2119005575 1518 5
2119005638 1518 5
2119005640 1518 5
2119005641 1518 5
2119005645 1518 5
2119005646 1518 5
2119005647 1518 5
2119005678 1518 5
2119005679 1518 5
2119014860 1497 9
2119014861 1497 9
2119014868 1497 9
2119014869 1497 9
2119014873 1497 9
2119014874 1497 9
2119014881 1497 9
2119014882 1497 9
2119014889 1497 9
2119014890 1497 9
2119014891 1497 9
2119014895 1497 9
